subject condition sample channel value hemisphere
R1292 c1 -100 ch48 -27.508795 left
R1292 c1 -100 ch76 33.246086 left
R1292 c1 -100 ch77 -24.108006 left
R1292 c1 -100 ch79 5.914557 left
R1292 c1 -100 ch80 -15.711125 left
R1292 c1 -100 ch85 6.492116 left
R1292 c1 -100 ch88 12.626562 left
R1292 c1 -100 ch90 13.489741 left
R1292 c1 -100 ch130 -27.629650 left
R1292 c1 -100 ch131 5.624139 left
R1292 c1 -99 ch48 -28.002613 left
R1292 c1 -99 ch76 32.943516 left
R1292 c1 -99 ch77 -24.847090 left
R1292 c1 -99 ch79 5.918533 left
R1292 c1 -99 ch80 -17.855553 left
R1292 c1 -99 ch85 6.924144 left
R1292 c1 -99 ch88 13.023615 left
R1292 c1 -99 ch90 13.472903 left
R1292 c1 -99 ch130 -28.602676 left
R1292 c1 -99 ch131 6.064789 left
R1292 c1 -98 ch48 -28.470932 left
R1292 c1 -98 ch76 32.631386 left
R1292 c1 -98 ch77 -25.449194 left
R1292 c1 -98 ch79 5.849401 left
R1292 c1 -98 ch80 -19.862206 left
R1292 c1 -98 ch85 7.249884 left
R1292 c1 -98 ch88 13.304754 left
R1292 c1 -98 ch90 13.424064 left
R1292 c1 -98 ch130 -29.454470 left
R1292 c1 -98 ch131 6.409025 left
R1292 c1 -97 ch48 -28.906944 left
R1292 c1 -97 ch76 32.311478 left
R1292 c1 -97 ch77 -25.908901 left
R1292 c1 -97 ch79 5.709994 left
R1292 c1 -97 ch80 -21.720188 left
R1292 c1 -97 ch85 7.458496 left
R1292 c1 -97 ch88 13.467112 left
R1292 c1 -97 ch90 13.341189 left
R1292 c1 -97 ch130 -30.173855 left
R1292 c1 -97 ch131 6.654456 left
R1292 c1 -96 ch48 -29.304049 left
R1292 c1 -96 ch76 31.985136 left
R1292 c1 -96 ch77 -26.222296 left
R1292 c1 -96 ch79 5.504161 left
R1292 c1 -96 ch80 -23.419533 left
R1292 c1 -96 ch85 7.541085 left
R1292 c1 -96 ch88 13.508603 left
R1292 c1 -96 ch90 13.222956 left
R1292 c1 -96 ch130 -30.750742 left
R1292 c1 -96 ch131 6.800172 left
R1292 c1 -95 ch48 -29.655806 left
R1292 c1 -95 ch76 31.653320 left
R1292 c1 -95 ch77 -26.387009 left
R1292 c1 -95 ch79 5.236715 left
R1292 c1 -95 ch80 -24.951265 left
R1292 c1 -95 ch85 7.490869 left
R1292 c1 -95 ch88 13.428021 left
R1292 c1 -95 ch90 13.068745 left
R1292 c1 -95 ch130 -31.176184 left
R1292 c1 -95 ch131 6.846780 left
R1292 c1 -94 ch48 -29.956135 left
R1292 c1 -94 ch76 31.316572 left
R1292 c1 -94 ch77 -26.402149 left
R1292 c1 -94 ch79 4.913270 left
R1292 c1 -94 ch80 -26.307375 left
R1292 c1 -94 ch85 7.303301 left
R1292 c1 -94 ch88 13.225046 left
R1292 c1 -94 ch90 12.878687 left
R1292 c1 -94 ch130 -31.442574 left
R1292 c1 -94 ch131 6.796455 left
R1292 c1 -93 ch48 -30.199366 left
R1292 c1 -93 ch76 30.975115 left
R1292 c1 -93 ch77 -26.268269 left
R1292 c1 -93 ch79 4.540150 left
R1292 c1 -93 ch80 -27.481030 left
R1292 c1 -93 ch85 6.976135 left
R1292 c1 -93 ch88 12.900329 left
R1292 c1 -93 ch90 12.653604 left
R1292 c1 -93 ch130 -31.543659 left
R1292 c1 -93 ch131 6.652924 left
R1292 c1 -92 ch48 -30.380238 left
R1292 c1 -92 ch76 30.628786 left
R1292 c1 -92 ch77 -25.987320 left
R1292 c1 -92 ch79 4.124264 left
R1292 c1 -92 ch80 -28.466408 left
R1292 c1 -92 ch85 6.509470 left
R1292 c1 -92 ch88 12.455487 left
R1292 c1 -92 ch90 12.395032 left
R1292 c1 -92 ch130 -31.474699 left
R1292 c1 -92 ch131 6.421452 left
R1292 c1 -91 ch48 -30.494026 left
R1292 c1 -91 ch76 30.277168 left
R1292 c1 -91 ch77 -25.562502 left
R1292 c1 -91 ch79 3.672947 left
R1292 c1 -91 ch80 -29.258955 left
R1292 c1 -91 ch85 5.905773 left
R1292 c1 -91 ch88 11.893159 left
R1292 c1 -91 ch90 12.105164 left
R1292 c1 -91 ch130 -31.232468 left
R1292 c1 -91 ch131 6.108782 left
R1292 c1 -90 ch48 -30.536592 left
R1292 c1 -90 ch76 29.919563 left
R1292 c1 -90 ch77 -24.998249 left
R1292 c1 -90 ch79 3.193844 left
R1292 c1 -90 ch80 -29.855257 left
R1292 c1 -90 ch85 5.169804 left
R1292 c1 -90 ch88 11.217022 left
R1292 c1 -90 ch90 11.786798 left
R1292 c1 -90 ch130 -30.815342 left
R1292 c1 -90 ch131 5.723076 left
R1292 c1 -89 ch48 -30.504404 left
R1292 c1 -89 ch76 29.555048 left
R1292 c1 -89 ch77 -24.300072 left
R1292 c1 -89 ch79 2.694746 left
R1292 c1 -89 ch80 -30.253168 left
R1292 c1 -89 ch85 4.308586 left
R1292 c1 -89 ch88 10.431780 left
R1292 c1 -89 ch90 11.443307 left
R1292 c1 -89 ch130 -30.223259 left
R1292 c1 -89 ch131 5.273802 left
R1292 c1 -88 ch48 -30.394575 left
R1292 c1 -88 ch76 29.182539 left
R1292 c1 -88 ch77 -23.474478 left
R1292 c1 -88 ch79 2.183475 left
R1292 c1 -88 ch80 -30.451828 left
R1292 c1 -88 ch85 3.331264 left
R1292 c1 -88 ch88 9.543183 left
R1292 c1 -88 ch90 11.078530 left
R1292 c1 -88 ch130 -29.457754 left
R1292 c1 -88 ch131 4.771617 left
R1292 c1 -87 ch48 -30.204887 left
R1292 c1 -87 ch76 28.800804 left
R1292 c1 -87 ch77 -22.528835 left
R1292 c1 -87 ch79 1.667734 left
R1292 c1 -87 ch80 -30.451637 left
R1292 c1 -87 ch85 2.248986 left
R1292 c1 -87 ch88 8.558008 left
R1292 c1 -87 ch90 10.696724 left
R1292 c1 -87 ch130 -28.521927 left
R1292 c1 -87 ch131 4.228219 left
R1292 c1 -86 ch48 -29.933861 left
R1292 c1 -86 ch76 28.408543 left
R1292 c1 -86 ch77 -21.471281 left
R1292 c1 -86 ch79 1.154993 left
R1292 c1 -86 ch80 -30.254324 left
R1292 c1 -86 ch85 1.074708 left
R1292 c1 -86 ch88 7.484022 left
R1292 c1 -86 ch90 10.302465 left
R1292 c1 -86 ch130 -27.420393 left
R1292 c1 -86 ch131 3.656169 left
R1292 c1 -85 ch48 -29.580669 left
R1292 c1 -85 ch76 28.004356 left
R1292 c1 -85 ch77 -20.310574 left
R1292 c1 -85 ch79 0.652384 left
R1292 c1 -85 ch80 -29.862934 left
R1292 c1 -85 ch85 -0.176978 left
R1292 c1 -85 ch88 6.329971 left
R1292 c1 -85 ch90 9.900569 left
R1292 c1 -85 ch130 -26.159182 left
R1292 c1 -85 ch131 3.068722 left
R1292 c1 -84 ch48 -29.145237 left
R1292 c1 -84 ch76 27.586906 left
R1292 c1 -84 ch77 -19.056005 left
R1292 c1 -84 ch79 0.166562 left
R1292 c1 -84 ch80 -29.281816 left
R1292 c1 -84 ch85 -1.490109 left
R1292 c1 -84 ch88 5.105504 left
R1292 c1 -84 ch90 9.495973 left
R1292 c1 -84 ch130 -24.745745 left
R1292 c1 -84 ch131 2.479606 left
R1292 c1 -83 ch48 -28.628172 left
R1292 c1 -83 ch76 27.154779 left
R1292 c1 -83 ch77 -17.717264 left
R1292 c1 -83 ch79 -0.296331 left
R1292 c1 -83 ch80 -28.516586 left
R1292 c1 -83 ch85 -2.847548 left
R1292 c1 -83 ch88 3.821130 left
R1292 c1 -83 ch90 9.093662 left
R1292 c1 -83 ch130 -23.188774 left
R1292 c1 -83 ch131 1.902816 left
R1292 c1 -82 ch48 -28.030737 left
R1292 c1 -82 ch76 26.706673 left
R1292 c1 -82 ch77 -16.304340 left
R1292 c1 -82 ch79 -0.730790 left
R1292 c1 -82 ch80 -27.574160 left
R1292 c1 -82 ch85 -4.231283 left
R1292 c1 -82 ch88 2.488139 left
R1292 c1 -82 ch90 8.698562 left
R1292 c1 -82 ch130 -21.498117 left
R1292 c1 -82 ch131 1.352398 left
R1292 c1 -81 ch48 -27.354897 left
R1292 c1 -81 ch76 26.241314 left
R1292 c1 -81 ch77 -14.827427 left
R1292 c1 -81 ch79 -1.131962 left
R1292 c1 -81 ch80 -26.462627 left
R1292 c1 -81 ch85 -5.622672 left
R1292 c1 -81 ch88 1.118512 left
R1292 c1 -81 ch90 8.315445 left
R1292 c1 -81 ch130 -19.684681 left
R1292 c1 -81 ch131 0.842196 left
R1292 c1 -80 ch48 -26.603201 left
R1292 c1 -80 ch76 25.757542 left
R1292 c1 -80 ch77 -13.296786 left
R1292 c1 -80 ch79 -1.495731 left
R1292 c1 -80 ch80 -25.191319 left
R1292 c1 -80 ch85 -7.002743 left
R1292 c1 -80 ch88 -0.275150 left
R1292 c1 -80 ch90 7.948829 left
R1292 c1 -80 ch130 -17.760279 left
R1292 c1 -80 ch131 0.385645 left
R1292 c1 -79 ch48 -25.778797 left
R1292 c1 -79 ch76 25.254272 left
R1292 c1 -79 ch77 -11.722710 left
R1292 c1 -79 ch79 -1.818698 left
R1292 c1 -79 ch80 -23.770594 left
R1292 c1 -79 ch85 -8.352463 left
R1292 c1 -79 ch88 -1.679764 left
R1292 c1 -79 ch90 7.602901 left
R1292 c1 -79 ch130 -15.737466 left
R1292 c1 -79 ch131 -0.004474 left
R1292 c1 -78 ch48 -24.885384 left
R1292 c1 -78 ch76 24.730555 left
R1292 c1 -78 ch77 -10.115418 left
R1292 c1 -78 ch79 -2.098232 left
R1292 c1 -78 ch80 -22.211851 left
R1292 c1 -78 ch85 -9.653020 left
R1292 c1 -78 ch88 -3.081868 left
R1292 c1 -78 ch90 7.281429 left
R1292 c1 -78 ch130 -13.629469 left
R1292 c1 -78 ch131 -0.316237 left
R1292 c1 -77 ch48 -23.927158 left
R1292 c1 -77 ch76 24.185513 left
R1292 c1 -77 ch77 -8.484970 left
R1292 c1 -77 ch79 -2.332415 left
R1292 c1 -77 ch80 -20.527431 left
R1292 c1 -77 ch85 -10.886113 left
R1292 c1 -77 ch88 -4.467725 left
R1292 c1 -77 ch90 6.987689 left
R1292 c1 -77 ch130 -11.449957 left
R1292 c1 -77 ch131 -0.538813 left
R1292 c1 -76 ch48 -22.908699 left
R1292 c1 -76 ch76 23.618414 left
R1292 c1 -76 ch77 -6.841224 left
R1292 c1 -76 ch79 -2.520096 left
R1292 c1 -76 ch80 -18.730480 left
R1292 c1 -76 ch85 -12.034184 left
R1292 c1 -76 ch88 -5.823491 left
R1292 c1 -76 ch90 6.724415 left
R1292 c1 -76 ch130 -9.212968 left
R1292 c1 -76 ch131 -0.662636 left
R1292 c1 -75 ch48 -21.835060 left
R1292 c1 -75 ch76 23.028614 left
R1292 c1 -75 ch77 -5.193768 left
R1292 c1 -75 ch79 -2.660756 left
R1292 c1 -75 ch80 -16.834852 left
R1292 c1 -75 ch85 -13.080713 left
R1292 c1 -75 ch88 -7.135307 left
R1292 c1 -75 ch90 6.493726 left
R1292 c1 -75 ch130 -6.932711 left
R1292 c1 -75 ch131 -0.679586 left
R1292 c1 -74 ch48 -20.711559 left
R1292 c1 -74 ch76 22.415543 left
R1292 c1 -74 ch77 -3.551872 left
R1292 c1 -74 ch79 -2.754554 left
R1292 c1 -74 ch80 -14.854986 left
R1292 c1 -74 ch85 -14.010409 left
R1292 c1 -74 ch88 -8.389489 left
R1292 c1 -74 ch90 6.297087 left
R1292 c1 -74 ch130 -4.623459 left
R1292 c1 -74 ch131 -0.583160 left
R1292 c1 -73 ch48 -19.543785 left
R1292 c1 -73 ch76 21.778749 left
R1292 c1 -73 ch77 -1.924467 left
R1292 c1 -73 ch79 -2.802223 left
R1292 c1 -73 ch80 -12.805751 left
R1292 c1 -73 ch85 -14.809462 left
R1292 c1 -73 ch88 -9.572622 left
R1292 c1 -73 ch90 6.135302 left
R1292 c1 -73 ch130 -2.299409 left
R1292 c1 -73 ch131 -0.368580 left
R1292 c1 -72 ch48 -18.337584 left
R1292 c1 -72 ch76 21.117815 left
R1292 c1 -72 ch77 -0.320079 left
R1292 c1 -72 ch79 -2.804997 left
R1292 c1 -72 ch80 -10.702307 left
R1292 c1 -72 ch85 -15.465704 left
R1292 c1 -72 ch88 -10.671758 left
R1292 c1 -72 ch90 6.008462 left
R1292 c1 -72 ch130 0.025464 left
R1292 c1 -72 ch131 -0.032911 left
R1292 c1 -71 ch48 -17.098904 left
R1292 c1 -71 ch76 20.432383 left
R1292 c1 -71 ch77 1.253176 left
R1292 c1 -71 ch79 -2.764592 left
R1292 c1 -71 ch80 -8.559985 left
R1292 c1 -71 ch85 -15.968784 left
R1292 c1 -71 ch88 -11.674497 left
R1292 c1 -71 ch90 5.915973 left
R1292 c1 -71 ch130 2.337504 left
R1292 c1 -71 ch131 0.424868 left
R1292 c1 -70 ch48 -15.833804 left
R1292 c1 -70 ch76 19.722130 left
R1292 c1 -70 ch77 2.787614 left
R1292 c1 -70 ch79 -2.683069 left
R1292 c1 -70 ch80 -6.394103 left
R1292 c1 -70 ch85 -16.310331 left
R1292 c1 -70 ch88 -12.569195 left
R1292 c1 -70 ch90 5.856541 left
R1292 c1 -70 ch130 4.623485 left
R1292 c1 -70 ch131 1.003820 left
R1292 c1 -69 ch48 -14.548378 left
R1292 c1 -69 ch76 18.986719 left
R1292 c1 -69 ch77 4.275999 left
R1292 c1 -69 ch79 -2.562801 left
R1292 c1 -69 ch80 -4.219837 left
R1292 c1 -69 ch85 -16.483999 left
R1292 c1 -69 ch88 -13.345043 left
R1292 c1 -69 ch90 5.828194 left
R1292 c1 -69 ch130 6.870722 left
R1292 c1 -69 ch131 1.701035 left
R1292 c1 -68 ch48 -13.248715 left
R1292 c1 -68 ch76 18.225855 left
R1292 c1 -68 ch77 5.711561 left
R1292 c1 -68 ch79 -2.406383 left
R1292 c1 -68 ch80 -2.052052 left
