subject condition sample channel value hemisphere
R1292 c1 -100 ch48 -4.018124 left
R1292 c1 -100 ch76 0.558549 left
R1292 c1 -100 ch77 47.388111 left
R1292 c1 -100 ch79 -4.479516 left
R1292 c1 -100 ch80 -20.682524 left
R1292 c1 -100 ch85 14.333762 left
R1292 c1 -100 ch88 5.621863 left
R1292 c1 -100 ch90 15.833146 left
R1292 c1 -100 ch130 0.892816 left
R1292 c1 -100 ch131 -6.222698 left
R1292 c1 -99 ch48 -1.603436 left
R1292 c1 -99 ch76 1.035908 left
R1292 c1 -99 ch77 47.495682 left
R1292 c1 -99 ch79 -3.194656 left
R1292 c1 -99 ch80 -20.394602 left
R1292 c1 -99 ch85 14.205293 left
R1292 c1 -99 ch88 5.284952 left
R1292 c1 -99 ch90 16.218224 left
R1292 c1 -99 ch130 0.296476 left
R1292 c1 -99 ch131 -6.123799 left
R1292 c1 -98 ch48 0.677917 left
R1292 c1 -98 ch76 1.505157 left
R1292 c1 -98 ch77 47.445698 left
R1292 c1 -98 ch79 -1.861794 left
R1292 c1 -98 ch80 -19.963732 left
R1292 c1 -98 ch85 13.991980 left
R1292 c1 -98 ch88 4.892609 left
R1292 c1 -98 ch90 16.591625 left
R1292 c1 -98 ch130 -0.297170 left
R1292 c1 -98 ch131 -5.959198 left
R1292 c1 -97 ch48 2.810399 left
R1292 c1 -97 ch76 1.965341 left
R1292 c1 -97 ch77 47.240326 left
R1292 c1 -97 ch79 -0.491038 left
R1292 c1 -97 ch80 -19.396181 left
R1292 c1 -97 ch85 13.695313 left
R1292 c1 -97 ch88 4.449946 left
R1292 c1 -97 ch90 16.951811 left
R1292 c1 -97 ch130 -0.884180 left
R1292 c1 -97 ch131 -5.736430 left
R1292 c1 -96 ch48 4.780388 left
R1292 c1 -96 ch76 2.415396 left
R1292 c1 -96 ch77 46.882397 left
R1292 c1 -96 ch79 0.906743 left
R1292 c1 -96 ch80 -18.699377 left
R1292 c1 -96 ch85 13.317732 left
R1292 c1 -96 ch88 3.962735 left
R1292 c1 -96 ch90 17.297638 left
R1292 c1 -96 ch130 -1.460535 left
R1292 c1 -96 ch131 -5.463528 left
R1292 c1 -95 ch48 6.576355 left
R1292 c1 -95 ch76 2.854144 left
R1292 c1 -95 ch77 46.375565 left
R1292 c1 -95 ch79 2.320042 left
R1292 c1 -95 ch80 -17.881790 left
R1292 c1 -95 ch85 12.862550 left
R1292 c1 -95 ch88 3.437384 left
R1292 c1 -95 ch90 17.628437 left
R1292 c1 -95 ch130 -2.022180 left
R1292 c1 -95 ch131 -5.148926 left
R1292 c1 -94 ch48 8.188971 left
R1292 c1 -94 ch76 3.280312 left
R1292 c1 -94 ch77 45.724354 left
R1292 c1 -94 ch79 3.736812 left
R1292 c1 -94 ch80 -16.952873 left
R1292 c1 -94 ch85 12.333927 left
R1292 c1 -94 ch88 2.880785 left
R1292 c1 -94 ch90 17.943907 left
R1292 c1 -94 ch130 -2.565092 left
R1292 c1 -94 ch131 -4.801383 left
R1292 c1 -93 ch48 9.611228 left
R1292 c1 -93 ch76 3.692535 left
R1292 c1 -93 ch77 44.934010 left
R1292 c1 -93 ch79 5.144604 left
R1292 c1 -93 ch80 -15.922991 left
R1292 c1 -93 ch85 11.736743 left
